DateTime,AddedIPs,RemovedIPs
1607679723,29,0
1607680924,13,68
1607682124,39,0
1607682723,31,29
1607683324,9,38
1607684523,25,0
1607685724,37,41
1607686324,8,0
1607686923,32,11
1607688123,22,59
1607688723,27,0
1607689323,25,0
1607690524,22,35
1607691124,13,20
1607691723,15,23
1607692924,18,46
1607694124,39,14
1607695323,28,22
1607696523,23,53
1607697123,30,0
1607697723,11,17
1607698924,14,16
1607700124,17,24
1607700724,17,26
1607701323,21,47
1607701923,21,0
1607702523,26,0
1607703724,26,22
1607704324,11,44
1607704924,6,23
1607706124,10,13
1607706724,23,16
1607707323,21,0
1607707924,23,19
1607708523,20,30
1607709724,23,36
1607710923,36,19
1607712123,33,17
1607712723,28,30
1607713924,33,35
1607714523,20,34
1607715723,30,27
1607716924,21,37
1607718123,26,0
1607719323,23,48
1607719923,14,0
1607720524,23,0
1607721724,19,24
1607722923,15,18
1607724123,25,5
1607725324,20,64
1607725924,36,4
1607726524,11,0
1607727124,22,23
1607728323,15,43
1607728924,15,11
1607730124,22,29
1607731323,21,20
1607731924,19,0
1607732524,28,22
1607733724,31,67
1607734324,22,0
1607734923,14,0
1607735524,15,14
1607736124,23,10
1607736724,15,0
1607737324,15,30
1607737924,19,25
1607738523,15,41
1607739124,21,0
1607739723,14,7
1607740924,14,12
1607742124,11,48
1607742723,3,12
1607743324,7,0
1607743923,15,12
1607744524,28,21
1607745123,20,0
1607745724,15,49
1607746323,12,0
1607746923,16,12
1607748124,11,32
1607748723,19,0
1607749324,4,7
1607750523,19,23
1607751724,21,36
1607752923,17,0
1607753524,24,16
1607754123,17,24
1607754724,20,0
1607755324,24,32
1607755923,8,0
1607756523,4,0
1607757724,14,26
1607758324,2,46
1607758924,17,15
1607759523,19,0
1607760124,24,35
1607760723,9,0
1607761324,11,0
1607762524,14,22
1607763123,24,24
1607763723,8,10
1607764924,29,16
1607766123,22,58
1607767324,15,0
1607768524,18,42
1607769124,15,53
1607769724,21,14
1607770324,37,0
1607770924,17,28
1607772123,12,0
1607773323,15,103
1607773924,14,0
1607774524,40,0
1607775724,12,71
1607776924,18,0
1607778124,18,46
1607779324,23,0
1607780524,36,38
1607781124,28,0
1607781724,17,0
1607782924,21,46
1607784124,15,10
1607785323,11,17
1607786524,14,27
1607787124,18,65
1607788324,63,18
1607789523,28,25
1607790723,23,8
1607791323,8,5
1607792523,14,26
1607793723,15,55
1607794923,24,16
1607796123,29,24
1607797323,25,90
1607797924,17,0
1607798523,11,21
1607799124,27,14
1607800323,25,0
1607800923,28,27
1607801523,23,26
1607802123,18,0
1607803323,15,36
1607804523,28,42
1607805723,25,0
1607806924,30,36
1607807524,18,0
1607808123,6,11
1607809324,19,38
1607810523,19,43
1607811723,12,15
1607812924,15,40
1607814123,26,32
1607814724,12,0
1607815324,21,9
1607815923,36,36
1607817723,15,0
1607818924,9,71
1607820124,8,20
1607820723,10,42
1607821323,13,8
1607822523,23,38
1607823724,38,46
1607824323,33,31
1607825524,43,48
1607826123,24,13
1607827323,37,10
1607828523,28,0
1607829123,17,6
1607829723,10,8
1607830923,14,48
1607831523,21,40
1607832723,27,31
1607833323,25,35
1607834523,35,0
1607835723,26,17
1607836924,27,46
1607837524,9,0
1607838124,8,26
1607839323,19,23
1607840524,31,36
1607841723,23,9
1607842923,19,46
1607844123,11,11
1607845323,37,52
1607846523,30,22
1607847723,22,93
1607848923,31,23
1607850123,24,30
1607851323,40,22
1607851923,50,22
1607852523,21,0
1607853123,27,15
1607853723,20,28
1607854923,17,53
1607855524,13,0
1607856123,13,35
1607857323,34,73
1607857924,28,16
1607858523,29,0
1607859124,18,42
1607859723,10,0
1607860323,23,14
1607860923,8,35
1607861523,29,27
1607862123,16,0
1607863323,33,10
1607863923,21,20
1607864524,32,0
1607865124,30,21
1607865723,21,0
1607866923,24,32
1607867523,16,51
1607869323,27,0
1607869923,4,20
1607870523,23,11
1607871724,26,0
1607872924,19,31
1607873523,20,22
1607874123,20,0
1607875323,28,83
1607875924,19,24
1607877124,23,6
1607877723,15,10
1607878923,22,0
1607880123,25,70
1607881323,18,24
1607882524,11,0
1607883723,19,14
1607884923,29,26
1607886123,37,72
1607887324,24,46
1607887923,19,19
1607888523,11,9
1607889723,19,0
1607890323,33,25
1607891523,23,30
1607892123,37,0
1607893324,21,59
1607894523,28,8
1607895723,24,34
1607896323,22,19
1607897523,34,10
1607898123,17,0
1607899323,17,64
1607899923,11,0
1607900524,21,0
1607901124,29,26
1607901724,17,22
1607902923,31,46
1607903524,9,17
1607904723,23,0
1607905324,25,6
1607906523,27,0
1607907723,18,30
1607908923,32,0
1607910123,18,54
1607911323,8,24
1607912523,16,49
1607913124,19,36
1607913724,12,7
1607914324,33,0
1607914924,11,0
1607915524,33,25
1607916123,13,9
1607917323,26,0
1607918523,33,45
1607919723,40,26
1607920923,20,20
1607922123,25,44
1607923324,18,31
1607924523,34,5
1607925724,29,14
1607926924,28,39
1607927524,25,31
1607928723,27,0
1607929323,18,0
1607930523,18,10
1607931723,26,25
1607932323,21,49
1607932923,12,14
1607934124,14,21
1607934723,13,0
1607935324,25,27
1607936523,29,0
1607937123,16,24
1607937724,21,36
1607938323,3,0
1607939523,13,66
1607940124,28,33
1607941324,25,0
1607941924,33,41
1607942523,13,0
1607943123,10,55
1607944323,23,57
1607944923,14,20
1607945524,34,0
1607946123,30,24
1607946724,32,0
1607947324,30,10
1607947923,27,98
1607949124,18,0
1607949723,22,24
1607950923,29,19
1607952123,26,55
1607953323,16,7
1607954523,23,10
1607955123,24,0
1607955723,13,0
1607956923,29,18
1607958123,17,41
1607959323,17,0
1607960523,17,24
1607961124,52,21
1607961724,8,0
1607962923,6,41
1607963523,21,0
1607964123,26,21
1607965323,15,59
1607966523,27,0
1607967723,19,13
1607968323,7,15
1607968923,30,0
1607969523,16,25
1607970123,44,18
1607970724,32,0
1607971323,31,23
1607971923,29,0
1607972524,26,0
1607973723,24,29
1607974923,23,17
1607975523,25,13
1607976124,11,0
1607977323,26,45
1607977925,31,0
1607978523,17,56
1607979723,20,0
1607980323,12,49
1607980924,18,23
1607982123,72,28
1607983323,35,33
1607984524,23,16
1607985124,3,0
1607985723,20,8
1607986923,15,35
1607988124,10,64
1607989324,31,0
1607989924,25,10
1607990524,19,16
1607991124,43,0
1607991724,22,10
1607992924,17,20
1607993524,19,32
1607994124,17,0
1607995324,14,24
1607996524,25,24
1607997724,18,0
1607998323,17,15
1607998923,25,2
1608000124,13,14
1608001324,19,64
1608001924,29,19
1608002524,30,0
1608003723,23,71
1608004923,20,0
1608005523,29,25
1608006123,27,28
1608007324,30,0
1608007924,52,17
1608008524,12,17
1608009723,20,0
1608010924,24,17
1608012124,18,23
1608012724,8,32
1608013324,16,30
1608014524,15,0
1608015724,33,61
1608016924,29,18
1608018124,20,23
1608019324,32,8
1608020524,27,9
1608021724,23,28
1608022923,14,77
1608024124,27,25
1608024725,20,8
1608025323,17,0
1608025923,21,0
1608026524,11,32
1608027724,18,29
1608028923,23,28
1608030124,21,17
1608030724,27,0
1608031324,6,35
1608032524,22,54
1608033124,13,21
1608033724,12,47
1608034924,30,21
1608036124,30,52
1608036724,21,0
1608037324,30,0
1608037923,28,32
1608038524,20,0
1608039723,20,16
1608040924,13,31
1608041523,30,16
1608042124,20,18
1608043324,20,0
1608044524,18,15
1608045724,14,19
1608046924,33,0
1608047523,28,5
1608048123,20,45
1608048724,22,0
1608049324,19,0
1608050523,15,20
1608051724,22,24
1608052923,22,36
1608054124,31,0
1608054724,18,12
1608055323,12,0
1608056523,31,69
1608057124,23,45
1608057724,21,0
1608058323,16,19
1608058923,25,16
1608060124,24,45
1608060724,16,0
1608061324,11,0
1608061923,20,19
1608062524,23,35
1608063724,29,30
1608064924,35,20
1608065524,23,22
1608066723,28,7
1608067324,12,52
1608067924,12,38
1608068524,12,35
1608069124,16,23
1608070923,24,4
1608072124,17,73
1608072724,23,0
1608073324,22,0
1608073923,20,12
1608074524,39,0
1608075124,20,13
1608075723,29,38
1608076923,22,24
1608077524,5,28
1608078124,19,68
1608078724,9,17
1608079324,18,17
1608080524,23,7
1608081724,20,61
1608082923,24,0
1608084124,24,43
1608084723,17,0
1608085324,26,13
1608085924,13,28
1608086524,17,31
1608087724,27,0
1608088323,12,21
1608088923,7,39
1608090124,29,0
1608090724,22,10
1608091323,9,0
1608091924,8,42
1608093124,17,31
1608093724,30,37
1608094923,11,72
1608095524,21,15
1608096123,12,35
1608097324,15,0
1608097923,5,8
1608098524,1,7
1608099123,14,0
1608099724,20,24
1608100324,17,32
1608100924,24,0
1608101523,18,26
1608102124,19,37
1608103323,17,0
1608103925,16,18
1608104523,5,0
1608105724,19,28
1608106924,34,16
1608107524,13,37
1608108724,17,0
1608109924,19,38
1608110524,14,0
1608111124,51,27
1608111724,12,29
1608112923,24,53
1608113523,19,0
1608114124,13,0
1608115324,13,33
1608115924,15,0
1608116524,21,0
1608117123,22,71
1608117724,13,36
